ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.084,-0.127,9.79,0.185,-0.151,9.804,-0.1,0.024,0.028,0,-0.4,0.4,26.274,-11,16.7,-25.1,32.4,0.9,-1.1,43.48
0.184,-0.17,9.776,0.189,-0.153,9.804,-0.004,-0.017,0.012,0,-0.4,-1.1,26.274,-10.7,16.6,-24.8,32.4,0.9,-1.1,42.28
0.196,-0.144,9.771,0.203,-0.154,9.803,-0.007,0.01,0.004,0,-0.4,-0.8,26.274,-11.1,15.5,-23.6,33.9,0.9,-1.2,42.28
0.217,-0.139,9.776,0.209,-0.152,9.803,0.009,0.013,0.008,0,-0.5,-0.2,26.442,-11.2,15.4,-23.2,35.7,0.9,-1.2,42.28
-0.016,-0.148,9.745,0.182,-0.154,9.804,-0.197,0.005,-0.021,0,-0.4,0.2,26.442,-11.2,14.3,-22.1,37.8,0.9,-1.1,42.28
0.12,-0.165,9.736,0.179,-0.155,9.804,-0.058,-0.01,-0.027,0,-0.4,-0.9,26.358,-11.2,14,-21.8,37.8,0.9,-1,42.09
0.113,-0.12,9.809,0.187,-0.152,9.804,-0.073,0.031,0.049,0,-0.4,-0.6,26.274,-11.2,13.9,-20.5,37.8,0.9,-1.1,42.09
0.132,-0.153,9.819,0.185,-0.152,9.804,-0.052,-0.002,0.052,0,-0.4,-0.4,26.358,-11.2,13.8,-20.1,37.8,0.9,-1.1,42.09
0.065,-0.141,9.716,0.177,-0.15,9.804,-0.111,0.008,-0.042,0,-0.3,0.3,26.358,-11.2,13.7,-18.8,37.9,0.9,-1,45.31
0.105,-0.175,9.807,0.172,-0.153,9.804,-0.066,-0.022,0.043,0,-0.3,0.5,26.358,-11.3,13.9,-18.3,37.9,0.9,-1,45.31
0.105,-0.175,9.807,0.172,-0.153,9.804,-0.066,-0.022,0.043,0,-0.3,0.5,26.358,-11.3,13.9,-18.3,37.9,0.9,-1,45.31
0.105,-0.175,9.807,0.172,-0.153,9.804,-0.066,-0.022,0.043,0,-0.3,0.5,26.358,-11.3,13.9,-18.3,37.9,0.9,-1,35.59
